,Arrival Time (hr),Pressurization Time (hr),Satisfaction Time (hr)
StorageforNode137,0.044444444444444446,0.08055555555555556,2.7194444444444446
StorageforNode138,0.1111111111111111,,
StorageforNode139,0.21388888888888888,,
StorageforNode143,0.125,,
StorageforNode144,0.10833333333333334,0.4861111111111111,
StorageforNode145,0.13333333333333333,,
StorageforNode146,0.30277777777777776,,
StorageforNode147,0.2777777777777778,,
StorageforNode148,0.28888888888888886,,
StorageforNode149,0.3888888888888889,,
StorageforNode150,0.4166666666666667,,
StorageforNode151,0.7694444444444445,,
StorageforNode152,0.8916666666666667,,
StorageforNode153,0.925,,
StorageforNode154,0.7138888888888889,,
StorageforNode155,0.45555555555555555,,
StorageforNode156,0.44722222222222224,,
StorageforNode157,0.1388888888888889,2.852777777777778,
StorageforNode158,0.03611111111111111,0.05277777777777778,2.811111111111111
StorageforNode159,0.008333333333333333,0.022222222222222223,2.3722222222222222
StorageforNode160,0.022222222222222223,0.04722222222222222,2.5277777777777777
StorageforNode161,0.09722222222222222,0.1388888888888889,3.283333333333333
StorageforNode162,0.15555555555555556,3.736111111111111,
StorageforNode163,0.11388888888888889,0.26944444444444443,3.7305555555555556
StorageforNode164,0.21944444444444444,,
StorageforNode165,0.24444444444444444,,
StorageforNode166,0.45555555555555555,,
StorageforNode167,0.4222222222222222,,
StorageforNode168,0.34444444444444444,,
StorageforNode169,0.4666666666666667,,
StorageforNode170,0.3638888888888889,,
StorageforNode171,0.4,,
StorageforNode172,0.4027777777777778,,
StorageforNode173,0.4222222222222222,,
StorageforNode175,0.3194444444444444,,
StorageforNode178,0.6722222222222223,,
StorageforNode182,0.11388888888888889,,
StorageforNode183,0.05555555555555555,0.10833333333333334,3.466666666666667
StorageforNode184,0.05277777777777778,0.07777777777777778,3.183333333333333
StorageforNode185,0.019444444444444445,0.03611111111111111,2.486111111111111
StorageforNode186,0.002777777777777778,0.002777777777777778,2.1222222222222222
StorageforNode187,0.11388888888888889,2.691666666666667,
StorageforNode188,0.005555555555555556,0.005555555555555556,2.1805555555555554
StorageforNode189,0.1388888888888889,,
StorageforNode190,0.19444444444444445,,
StorageforNode191,0.24722222222222223,,
StorageforNode192,0.2638888888888889,,
StorageforNode193,0.8944444444444445,,
StorageforNode194,0.5722222222222222,,
StorageforNode195,0.2222222222222222,,
StorageforNode196,0.5472222222222223,,
StorageforNode197,0.33611111111111114,,
StorageforNode198,0.275,,
StorageforNode199,0.28888888888888886,,
